Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2019-08-27,TH2Ddg7kvi,h85ZOw37Wc,mON78rrd3Y,Dumbbell Bench Press,5,23.813627745371086,fake_id_538
2020-01-06,utYfGS9aYG,52vo7F7CLd,X7FntTDJ6d,Close-Grip Bench Press,12,40.0,fake_id_526
2020-02-22,r1fhvp2PQN,G1mxtZtEs5,hSpQfLAAhT,Back Squat,10,83.91468824559335,fake_id_508
2019-11-01,YOg3wfgDAn,mnwUcsbS9T,PZitGXouJ6,Barbell Bench Press,4,68.03893641534596,fake_id_540
2020-06-30,NzBQHM3uYu,mnwUcsbS9T,zcCf75Od9R,Barbell Bench Press,5,81.64672369841516,fake_id_562
2020-06-08,9biWhxvzQN,bOhZg3HbGM,k5xHk1WD7h,Dumbbell Bent Over Row,8,15.87575183024739,fake_id_520
2019-09-07,w3aa8GZ3Dx,h85ZOw37Wc,ETWkYHvMbn,Dumbbell Bench Press,12,20.41168092460379,fake_id_501
2019-11-21,pGsaStPDbc,mnwUcsbS9T,1deYpbCHZU,Barbell Bench Press,4,74.84283005688056,fake_id_548
2019-12-02,Qlr7a1C2xH,G1mxtZtEs5,qhDrz1GXkP,Back Squat,12,49.895220037920375,fake_id_583
2020-02-19,TnHo4271bj,6REm9Tfqpa,PdLyX3WJdv,Dumbbell Row,5,27.215574566138386,fake_id_546
2019-11-21,pGsaStPDbc,h85ZOw37Wc,K2lXKnpwZe,Dumbbell Bench Press,8,24.947610018960187,fake_id_548
2020-06-18,fy5kGh3oCs,G1mxtZtEs5,F8zIUWsZ1u,Back Squat,10,55.0,fake_id_529
2019-08-13,SGB3a1SToG,6REm9Tfqpa,Iliw7UtY3t,Dumbbell Row,5,35.0,fake_id_551
2019-12-16,j8pNjRRJKl,G1mxtZtEs5,RaztKF7nxX,Back Squat,4,142.88176647222653,fake_id_617
2020-03-03,olXIlr9GOD,mnwUcsbS9T,ngAcAupKYu,Barbell Bench Press,6,29.483539113316585,fake_id_594
2019-09-23,qk7wrG3Xox,dXqYJgUYO6,aEJ1NppNp1,Deadlift,10,79.37875915123695,fake_id_536
2019-10-15,EI1thqknAp,52vo7F7CLd,MDfUotHXNY,Close-Grip Bench Press,5,52.16318458509857,fake_id_533
2019-10-17,OdDqnpsXhw,mnwUcsbS9T,J2rHTT7Nxi,Barbell Bench Press,8,79.37875915123695,fake_id_501
2019-11-14,UVK88ucDRG,mnwUcsbS9T,maNYQNEsOh,Barbell Bench Press,5,70.30690096252415,fake_id_534
2019-12-01,iaC4tXzTkc,mvkMgAdecH,9ZvFqvyWw5,Dumbbell Shoulder Press,6,27.215574566138386,fake_id_502
